PROC_REA,count
0415030013,11284
0406050031,25
0408030402,242
0406010609,27
0408050713,330
0408020490,20
0403080029,7
0304100021,35392
0308010043,532
0408050861,466
0505020092,1238
0303130016,904
0406011133,185
0408030771,14
0416040225,51
0408010169,42
0406011443,7
0401020029,692
0406040052,936
0304090026,143
0408050918,47
0413010090,174
0408060174,332
0408020482,62
0408030909,3
0408030429,11
0401020142,13
0406020019,2
0409010561,2342
0403030153,582
0407040242,1483
0407020365,41
0415020018,2
0403010080,41
0408030836,6
0406010668,21
0303150017,1567
0303040130,429
0416020151,205
0407030140,104
0403040108,19
0303060123,59
0406040249,9
0404010652,16
0401020126,18
0409020141,19
0406010412,20
0303040300,742
0406010820,298
0408030895,36
0409010375,23
0408020199,160
0406040273,24
0408040092,1873
0303020059,4545
0407020063,1264
0405010079,580
0303100052,26
0303110031,26
0404010555,10
0408040220,1
0305020021,6620
0416090109,283
0408060379,4513
0412030012,453
0405030096,189
0403040094,95
0303070072,10426
0407020039,22146
0411020013,26569
0408060484,1876
0408040289,82
0408060131,119
0408030542,109
0403080096,2
0303030046,7812
0408020393,1896
0303020032,5003
0408040300,23
0416090028,36
0408050101,62
0416030092,57
0408060077,16
0407010033,8
0408060441,584
0303060042,779
0404020313,31
0408030160,24
0406010706,36
0416040276,96
0408050900,12
0408050195,86
0406010994,7
0404010431,24
0403040060,63
0404030157,60
0301050074,2365
0408030100,13
0406050112,30
0408050390,26
0406020191,20
0407030174,13
0303140038,238
0408030240,39
0408020431,4224
0503020028,142
0403010152,11
0409010286,146
0416030181,15
0413040186,12
0408050250,48
0406020400,16
0408060697,6
0409020010,17
0406010382,1
0308020030,7207
0412050102,204
0412020033,246
0303150068,530
0406040192,127
0406010986,40
0403050138,6
0408050357,10
0407040161,5017
0303040254,111
0403020131,51
0416020259,49
0408010223,100
0416030084,20
0407030182,21
0416050093,15
0303060069,1453
0409010510,26
0404020577,33
0403020107,13
0404020429,38
0416030025,9
0303080078,7720
0303060107,7770
0409070157,515
0416010075,665
0406020248,163
0405010117,50
0416040110,39
0407010130,264
0408040181,16
0406020337,8
0406011362,3
0408050322,9
0303070064,7055
0404030262,116
0404020496,122
0407010165,355
0408020458,300
0416040241,14
0408020024,91
0201010038,6
0411010034,116134
0407020284,4720
0303060026,6686
0201010402,419
0408020385,1875
0408020334,1978
0303110015,414
0409070050,1077
0416090133,665
0403010179,39
0416050050,77
0404020356,31
0408040238,2
0404020488,4
0407020446,5
0408050616,1375
0303060247,454
0406050066,40
0303180064,191
0406040176,137
0404010580,54
0303180048,272
0410010111,2284
0404020704,172
0405030134,66
0406010536,58
0303060115,184
0409010057,33
0408040254,218
0301090025,68
0416060013,138
0408040157,11
0404020321,266
0408060336,103
0406010900,20
0406010480,3
0303040106,2437
0303140100,3669
0408060425,893
0413040127,59
0416080111,8
0416030343,5
0409010308,15
0403010110,12
0404020348,5
0408020318,6
0416090125,3
0408030372,5
0412010046,213
0404020593,13
0409060011,1000
0303170174,314
0408030437,20
0406020280,25
0303040068,2148
0406040290,53
0407010300,22
0303030038,11876
0412030101,201
0201010135,91
0407030042,112
0404020143,126
0403070112,10
0408010134,1427
0406030111,62
0408060662,85
0408060557,807
0406011508,11
0406010323,5
0403010314,1289
0303040114,662
0403010276,584
0408050691,487
0409040126,530
0410010057,213
0408020288,11
0408030321,32
0416090079,7
0412010011,3
0304090018,275
0303060182,553
0416120040,725
0406010765,19
0406010790,43
0303040220,45
0409060283,10
0407010076,9
0303150050,30195
0209040033,248
0412040018,16
0408020601,62
0303010223,113029
0411010018,100
0408060255,12
0411010042,11117
0404010016,883
0303010215,5435
0506020037,2192
0402010027,229
0404020550,295
0409070149,254
0304090042,84
0416020194,80
0409040177,14
0412010143,21
0409010030,8
0409060224,1
0505010089,343
0406040028,241
0409050032,370
0404010318,366
0403030137,21
0408030127,26
0406020485,6
0409070106,11
0405010125,512
0416040284,56
0405010133,143
0406040303,70
0416030327,78
0403030161,65
0408020610,57
0406010811,23
0406010455,1
0407020454,5
0303160047,7782
0505010097,640
0406030049,2691
0405040016,24
0505010054,180
0409010073,9
0303010096,2
0408050845,47
0408050292,31
0303150041,1241
0406010803,79
0402010043,922
0416060056,144
0506020070,46
0408030631,51
0416030041,36
0308040023,18
0407030034,19505
0408050497,7497
0407040250,228
0403010306,1044
0407020357,24
0407020250,32
0416040039,28
0408020040,7
0407010084,45
0403020042,54
0407030220,45
0303040076,1368
0405050372,15902
0303070099,1542
0403040116,195
0408050470,369
0404020640,35
0404020224,62
0408050764,359
0416040250,123
0408040297,363
0408040076,362
0416030157,122
0407040153,56
0403050120,5
0407040129,10188
0408050527,1571
0408060050,267
0505020114,63
0409070033,97
0403050111,27
0406040133,4
0403060052,26
0416010199,19
0406010544,12
0404010326,291
0413010066,1190
0404030270,26
0406011311,16
0303170140,17227
0406010684,1434
0408060387,196
0409060020,64
0408050454,367
0412010100,367
0405030029,17
0303010029,192
0408040106,30
0407020292,62
0406020582,12
0408060409,27
0303060204,4859
0405030142,1103
0303040270,363
0403030013,33
0303140089,437
0403010063,21
0409070262,305
0416090036,16
0403020077,652
0404030165,57
0407020152,89
0406020540,45
0407020268,30
0408060603,5
0308010019,17464
0401020037,504
0408060123,426
0303060050,118
0408060190,680
0303170107,2156
0412020017,150
0401020169,145
0407020381,106
0408010037,13
0303040149,38616
0410010081,317
0412020050,82
0409010537,19
0406011176,3
0406050120,30
0406020450,257
0401020045,2177
0402020022,67
0303180030,128
0407010106,27
0407040080,2916
0409010570,69
0401020061,145
0303160071,103
0406011109,91
0407040234,34
0408030313,16
0412050013,16
0404010032,5750
0402010035,409
0408020369,768
0408020466,437
0413040089,51
0407040013,449
0408020520,367
0303010150,35
0408030020,37
0407030204,28
0303020040,2588
0409010227,187
0407020276,2032
0409010219,662
0403010233,15
0408050080,239
0405050356,75
0404030122,77
0408030828,4
0406020264,49
0408060646,28
0407040226,572
0303110112,238
0408040068,99
0405040059,45
0408020636,4
0408050578,4758
0403030064,199
0403010101,1778
0407010238,102
0403070058,123
0403010330,8
0407040056,50
0413040054,86
0408010053,47
0304080039,3138
0409070270,998
0405040202,458
0303080086,135
0408030399,321
0403010055,56
0407020403,649
0408050284,26
0409010553,11
0409060160,13
0403060060,6
0506020029,695
0403070155,23
0505010011,170
0403010039,121
0404010113,617
0403050030,380
0409060232,1135
0406020426,59
0416030300,61
0408050853,14
0403020034,55
0409030015,11
0405030193,30
0408060395,24
0409010340,3
0408020415,858
0408050136,270
0408030151,23
0409040037,28
0404010334,47
0407010092,16
0403050057,4
0409070297,7
0405050380,35
0416050077,1320
0406010676,717
0408060204,11
0409010081,124
0409040118,32
0405040024,34
0416110037,25
0406020310,15
0406020167,31
0408050365,1
0303170190,24192
0410010090,253
0409060151,128
0413040046,269
0404030190,2
0408040335,38
0408030470,78
0406030154,45
0409050083,10418
0416110088,14
0505020050,553
0406020515,147
0304090034,80
0406020418,5
0303160039,26050
0416060110,1103
0504010026,107
0409060119,4230
0404010377,1934
0201010534,80
0408020326,858
0406011222,1
0409060208,39
0408060549,62
0403060036,2
0505020041,98
0408030577,4
0403070139,66
0409060275,63
0201010305,24
0404010547,1
0303040297,468
0409060186,5599
0303010134,936
0409040010,292
0405040210,65
0408040343,37
0403030099,46
0407020195,12
0409070289,20
0409060135,1818
0407030166,244
0303060085,45
0408020440,190
0408020580,29
0406011338,21
0413030059,1
0409010391,257
0303060166,325
0416040268,43
0408060085,73
0407020438,10
0407040145,206
0408060034,52
0505010020,48
0401020150,118
0408050420,25
0412050048,129
0408030860,6
0409010456,9
0305010174,5566
0303160063,13188
0402010051,50
0406020078,4185
0303040262,1034
0409020079,157
0408020245,469
0403020085,156
0407030247,43
0408030666,2
0409050130,2
0403030048,318
0211050091,274
0407040021,271
0408050128,43
0408050756,13
0406020329,11
0408030500,4
0303060298,8911
0305020056,10643
0409010090,940
0416040209,414
0408030364,6
0416030220,2
0404010180,8
0403050073,9
0303040203,785
0403070082,15
0408020512,428
0403040051,19
0404030246,9
0416060021,338
0403010241,117
0503020010,31
0506020053,165
0409010316,45
0403040086,2
0406011095,1
0408060352,5319
0409060038,1956
0211050105,1362
0412010089,4
0201010160,8
0408060310,1139
0406050104,31
0404010350,592
0201010275,397
0416080081,667
0408050233,628
0416030246,26
0303110074,50
0406010153,4
0408020016,80
0409040169,662
0413010015,166
0409070114,3
0408050152,74
0303110023,126
0408030747,4
0412020076,8
0303150025,1884
0416020160,188
0303130059,29059
0403010160,63
0405030185,317
0409010480,60
0405040067,93
0407020462,60
0506020045,9678
0407040064,2080
0404010229,126
0407030123,500
0409060143,66
0408050071,3
0406010188,4
0416010229,11
0402020014,5
0406010374,3
0408010070,3
0406020159,738
0408030283,84
0404020690,46
0408040173,88
0406040168,171
0505010119,30
0408050624,779
0406020353,97
0409060259,7
0405040083,7
0408050748,45
0408060301,25
0406010650,2623
0416080030,2141
0414020413,897
0408060026,7
0404020585,19
0409070068,236
0406010510,194
0404020780,42
0406010773,177
0408020121,45
0406020442,212
0416010164,42
0408030224,1
0406011290,1
0303100010,2515
0303170131,4011
0303010142,740
0416040071,227
0413030016,5
0403010322,56
0409070076,61
0403010390,118
0406040320,16
0408020547,1324
0409010189,250
0406020434,118
0303010185,70
0404030289,13
0301060088,62247
0303060018,967
0416080014,693
0406010846,73
0303010053,454
0406010358,2
0413040097,66
0408050802,31
0404020240,162
0416030190,52
0416120024,1323
0403040019,9
0404010610,1
0409030031,315
0408020202,1308
0408050349,34
0303010118,675
0406011451,77
0405040075,283
0404030041,36
0409060054,258
0408030267,71
0412020068,14
0404020046,28
0416040233,48
0406010226,5
0409050024,11
0405050402,6
0403080010,5
0303090138,1439
0409010545,3
0303040122,854
0407040200,478
0408060182,165
0413040267,10
0408020350,217
0416030203,18
0406040184,17
0403010365,40
0303130067,2273
0303170204,6473
0409010324,165
0303140054,85
0405040040,2
0407020012,14
0408030852,5
0303060190,22744
0408020032,120
0406010943,177
0406010838,18
0409070300,123
0403030129,45
0416030068,160
0409070203,34
0505020122,27
0403030110,6
0406010463,2
0406050082,3
0404010210,236
0407010378,10
0303060158,105
0303180056,280
0406040311,24
0303110058,112
0405010176,107
0408050780,23
0406020361,44
0408050837,69
0409010022,31
0409010251,25
0303040017,1444
0416040217,407
0408060328,241
0406050015,158
0305020030,47
0406040117,2
0416050026,1262
0209040050,279
0408030330,6
0409020095,9
0406020477,6
0403010225,77
0404010407,4
0409070092,108
0408040025,28
0416040179,14
0408030445,14
0406010331,5
0408020067,2
0410010120,417
0407020411,106
0408020091,45
0412040123,1
0308010027,98
0406020108,14
0408040246,5
0403060028,2
0408030844,2
0408040050,1868
0303170166,2082
0303160020,2782
0303060220,648
0408020377,2500
0408010142,841
0406020531,247
0412050110,8
0407030026,9949
0308010035,1561
0408020229,382
0408010185,1143
0408060360,2174
0405050097,1992
0506020096,273
0408040203,128
0409070211,34
0416010032,70
0407020233,37
0409010472,18
0411010026,33869
0416120059,1369
0408040262,273
0201010143,508
0404020542,610
0406020027,1
0416110045,25
0408010207,13
0303100036,1805
0408060069,56
0303010169,375
0408050659,312
0407040137,185
0303130040,290
0416110053,69
0404010059,191
0406040044,113
0404020607,72
0413040216,51
0408030810,6
0408050241,27
0406040095,313
0303060271,244
0408020598,106
0405050143,46
0408030046,21
0404010288,1
0406011494,3
0408030038,74
0409050148,5
0406011265,3
0409010294,503
0406020388,79
0408060530,29
0408020210,380
0403010071,2
0406011303,12
0409050016,34
0408030607,26
0407010017,12
0408030798,2
0304100013,27699
0303150033,4310
0416040020,19
0408050489,2485
0405050232,489
0408020407,7776
0404010520,89
0409010529,11
0412050064,19
0403080088,3
0409070238,38
0416050115,10
0403020018,13
0416030076,10
0411010050,10
0407040102,13229
0409020176,1017
0404020658,208
0414010256,23
0201010240,5
0415040035,13596
0415020050,11022
0406011206,226
